구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
중원구,은행2동,36422,도시공원,실외,은행공원 물이용놀이터,경기도 성남시 중원구 금빛로112번길 35,1163.0,2009-08-31,공공,물이용놀이기구(조합놀이대형)(1)+물이용놀이기구(기타)+ 단품)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,Y,2025-07-05,37.45319445,127.1690265,2009,16,0.8728658302136879,1,1163.0,2
분당구,구미동,36423,도시공원,실외,진고개공원 놀이터,경기도 성남시 분당구 구미동 209,316.5,2009-09-03,공공,조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-14,Y,N,N,2025-07-05,37.33541051,127.11461,2009,16,0.8544706589573451,1,316.5,2
분당구,운중동,36496,주택단지,실외,산운마을14단지 경남아너스빌 1408동 앞 맑은물빛놀이터,경기도 성남시 분당구 판교원로82번길 60,238.0,2009-08-03,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-29,Y,Y,N,2025-07-05,37.38305994,127.0739908,2009,16,2.8578278686239442,0,238.0,2
분당구,운중동,36497,주택단지,실외,산운마을14단지 경남아너스빌 커뮤니티센터 뒤 유아놀이터,경기도 성남시 분당구 판교원로82번길 60,328.0,2009-08-11,민간,흔들놀이기구(1)+건너는기구(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-29,Y,Y,N,2025-07-05,37.38305994,127.0739908,2009,16,2.8578278686239442,0,328.0,2
분당구,운중동,36498,주택단지,실외,산운마을14단지 경남아너스빌 1411동 앞 도담놀이마당,경기도 성남시 분당구 판교원로82번길 60,687.3,2009-07-22,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-29,Y,Y,N,2025-07-05,37.38305994,127.0739908,2009,16,2.8578278686239442,0,687.3,2
분당구,운중동,36793,도시공원,실외,바람길(판교1호) 어린이공원,경기도 성남시 분당구 운중동 889,316.5,2009-09-08,공공,그네(2)+흔들놀이기구(5)+조합놀이대(2)+충격흡수용표면재(모래)(1)+충격흡수용표면재(포설도포바닥재)(1),2024-05-03,Y,Y,N,2025-07-05,37.3921138,127.0666836,2009,16,3.5114311263836084,1,316.5,2
분당구,운중동,36794,도시공원,실외,물빛(판교2호) 어린이공원,경기도 성남시 분당구 운중동 900,316.5,2009-09-08,공공,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-24,Y,Y,N,2025-07-05,37.39109028,127.0672527,2009,16,3.4454031030979153,1,316.5,2
분당구,판교동,36801,주택단지,실외,판교대광로제비앙아파트(원마을6단지)놀이터(1),경기도 성남시 분당구 판교원로 209,328.0,2009-09-09,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2023-05-31,Y,Y,N,2025-07-05,37.38800019,127.0906455,2009,16,1.3538885745002571,0,328.0,2
분당구,판교동,36802,주택단지,실외,판교대광로제비앙아파트(원마을6단지)놀이터(2),경기도 성남시 분당구 판교원로 209,328.0,2009-09-09,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2023-05-31,Y,Y,N,2025-07-05,37.38800019,127.0906455,2009,16,1.3538885745002571,0,328.0,2
분당구,구미동,37104,도시공원,실외,뒷구미(59호) 어린이공원,경기도 성남시 분당구 구미동 32,316.5,2009-07-16,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-08-08,Y,Y,N,2025-07-05,37.34897437,127.1112826,2009,16,0.9582816810330989,1,316.5,2
